Location
Vileparle East
Chembur
Andheri
Andheri East
Andheri West
Bandra East
Bandra West
Bhandup West
Borivali West
Byculla
Charni Road
Chembur East
Colaba
Cumballa Hill
Dadar
Dadar East
Dadar West
Dahisar East
Gamdevi
Ghatkopar
Ghatkopar East
Ghatkopar West
Girgaon
Goregaon East
Goregaon West
Grant Road
Jogeshwari East
Juhu
Kandivali East
Kandivali West
Khar West
Kurla West
Lower Parel
Mahim
Malad West
Marine Lines
Matunga
Mira Road
Mulund
Mulund East
Mulund West
Mumbai Central
Opera House
Parel
Powai
Prabhadevi
Sakinaka
Santacruz West
Sion East
Tardeo
Tilak Nagar
Vileparle
Vileparle West
Wadala
Worli
